tournamentYear,wrestlerClass,wrestlerScore,wrestlerCap,wrestlerRank,wrestlerSeed,wrestlerWeightClass,wrestlerAllAmerican,wrestlerChampion,wrestlerRecord,teamRank,teamPts
2025,Fr,18.5,196,1,1,125,1,0,19-2,1,161
2025,Sr,14.5,148,2,2,125,1,0,26-1,14,27.7
2025,So,10,139,3,3,125,1,0,18-3,6,52.5
2025,Fr,21,117,5,4,125,1,1,18-3,15,27.5
2025,Jr,1,129,4,5,125,0,0,16-2,16,25.8
2025,Jr,3,107,6,6,125,0,0,17-6,18,22.5
2025,So,17.5,93,7,7,125,1,0,20-4,3,64.7
2025,Jr,9,59,11,8,125,1,0,19-3,17,23.2
2025,Sr,7.5,87,8,9,125,1,0,19-5,4,63.7
2025,Jr,5.5,78,9,10,125,1,0,20-3,19,19.3
2025,Jr,3,38,13,11,125,0,0,21-5,40,3
2025,Jr,4,71,10,12,125,0,0,20-6,29,11.3
2025,Fr,1,10,16,13,125,0,0,15-2,38,3.5
2025,Jr,1.5,31,14,14,125,0,0,0-0,26,13
2025,Jr,0.5,45,12,15,125,0,0,14-7,27,12.8
2025,So,0.5,10,18,17,125,0,0,25-8,33,5.3
2025,Sr,1.5,26,15,18,125,0,0,24-9,37,3.8
2025,Jr,3,5,23,19,125,0,0,14-6,5,58
2025,So,1.5,10,17,20,125,0,0,21-9,7,47.7
2025,Jr,1.5,10,19,21,125,0,0,18-9,34,5.3
2025,Fr,2.5,5,21,22,125,0,0,16-11,8,42.7
2025,Sr,1.5,5,25,23,125,0,0,23-8,21,18.5
2025,Sr,0,5,26,24,125,0,0,13-9,28,11.8
2025,Jr,0.5,5,30,25,125,0,0,22-8,48,1
2025,So,0,5,28,26,125,0,0,14-7,43,2.5
2025,Jr,0,5,27,27,125,0,0,14-Oct,46,2.3
2025,So,0,5,32,28,125,0,0,19-11,24,14.5
2025,So,0,5,22,29,125,0,0,14-12,2,81.7
2025,Sr,0,5,34,31,125,0,0,17-10,25,14
2025,Jr,1,5,31,32,125,0,0,16-11,9,41.8
2025,Jr,0.5,5,36,33,125,0,0,16-Dec,53,0.5
2025,Sr,22,196,1,1,133,1,1,18-1,10,37.5
2025,Jr,19.5,148,2,2,133,1,0,16-2,2,81.7
2025,So,1.5,139,3,3,133,0,0,21-3,11,30
2025,Jr,13.5,117,5,4,133,1,0,14-4,24,14.5
2025,Jr,1,93,7,5,133,0,0,21-2,19,19.3
2025,Sr,9,129,4,6,133,1,0,15-1,6,52.5
2025,So,4,78,9,7,133,0,0,22-6,7,47.7
2025,So,13,107,6,8,133,1,0,5-Dec,1,161
2025,Jr,1,71,10,9,133,0,0,23-4,22,16.7
2025,Jr,1.5,59,11,10,133,0,0,19-9,29,11.3
2025,So,2,87,8,11,133,0,0,19-4,20,19.2
2025,Jr,0.5,38,13,12,133,0,0,21-5,26,13
2025,Fr,6.5,31,14,13,133,1,0,24-6,23,14.8
2025,Fr,14.5,26,15,14,133,1,0,20-7,40,3
2025,Sr,1,10,18,15,133,0,0,20-6,45,2.5
2025,Sr,1,5,27,16,133,0,0,22-6,33,5.3
2025,So,8,10,16,17,133,1,0,14-9,4,63.7
2025,Jr,1,10,17,18,133,0,0,17-6,8,42.7
2025,Fr,0,5,22,19,133,0,0,25-6,50,1
2025,Jr,0,5,24,20,133,0,0,21-6,53,0.5
2025,Sr,3,10,19,21,133,0,0,20-9,37,3.8
2025,So,1,5,21,22,133,0,0,8-Nov,5,58
2025,Jr,1.5,5,29,23,133,0,0,27-9,35,5
2025,Sr,0,10,20,24,133,0,0,25-11,46,2.3
2025,Sr,0.5,5,25,25,133,0,0,22-8,42,3
2025,Jr,0,45,12,26,133,0,0,7-Dec,15,27.5
2025,Jr,0,5,26,27,133,0,0,25-6,48,1
2025,Fr,0.5,5,30,29,133,0,0,5-Dec,9,41.8
2025,Jr,1,5,31,30,133,0,0,19-14,21,18.5
2025,So,0,5,33,31,133,0,0,17-Dec,12,29.2
2025,Jr,0,5,37,33,133,0,0,18-Jul,13,28.7
2025,Jr,20.5,148,2,1,141,1,0,23-3,4,63.7
2025,Sr,14.5,196,1,2,141,1,0,21-1,1,161
2025,Jr,23.5,139,3,3,141,1,1,25-3,7,47.7
2025,Sr,13,87,8,4,141,1,0,23-3,32,8.2
2025,Jr,12,129,4,5,141,1,0,24-3,8,42.7
2025,Jr,5.5,117,5,6,141,1,0,23-4,5,58
2025,So,5.5,93,7,7,141,0,0,20-4,3,64.7
2025,Sr,1,107,6,8,141,0,0,16-1,19,19.3
2025,So,9,78,9,9,141,1,0,30-7,20,19.2
2025,Sr,12.5,45,12,10,141,1,0,0-0,33,5.3
2025,So,2,38,13,11,141,0,0,14-1,43,2.5
2025,Sr,0,59,11,12,141,0,0,23-7,6,52.5
2025,Sr,0,10,18,13,141,0,0,20-3,50,1
2025,So,4,71,10,14,141,0,0,20-9,13,28.7
2025,Jr,1.5,31,14,15,141,0,0,18-9,29,11.3
2025,Jr,2,10,16,16,141,0,0,26-4,45,2.5
2025,Sr,0,5,22,17,141,0,0,25-8,53,0.5
2025,Jr,2.5,26,15,18,141,0,0,16-11,21,18.5
2025,Sr,1,10,17,19,141,0,0,14-6,34,5.3
2025,Sr,1,5,21,20,141,0,0,0-0,9,41.8
2025,Jr,4,10,20,21,141,0,0,19-5,42,3
2025,Jr,0,5,23,22,141,0,0,19-7,48,1
2025,Jr,0,10,19,23,141,0,0,13-10,12,29.2
2025,So,0.5,5,24,24,141,0,0,20- ,23,14.8
2025,So,1,5,28,26,141,0,0,17-7,38,3.5
2025,So,1.5,5,31,27,141,0,0,14-11,14,27.7
2025,Jr,3,5,26,28,141,0,0,13-6,10,37.5
2025,So,0.5,5,33,29,141,0,0,14-12,26,13
2025,Jr,0.5,5,38,30,141,0,0,9-Dec,28,11.8
2025,Jr,0,5,30,31,141,0,0,16-Dec,18,22.5
2025,So,2.5,5,34,32,141,0,0,9-Nov,27,12.8
2025,Jr,0,5,37,33,141,0,0,2-May,50,1
2025,Jr,16,196,1,1,149,1,0,18-0,6,52.5
2025,Sr,22.5,148,2,2,149,1,1,20-2,4,63.7
2025,Jr,19.5,139,3,3,149,1,0,20-2,1,161
2025,Fr,1,107,6,4,149,0,0,25-4,20,19.2
2025,Sr,1,129,4,5,149,0,0,20-3,2,81.7
2025,Jr,12,117,5,6,149,1,0,20-5,26,13
2025,Fr,3,78,9,7,149,0,0,14-6,10,37.5
2025,So,4,93,7,8,149,0,0,24-4,11,30
2025,Jr,4,26,15,9,149,0,0,22-3,33,5.3
2025,Sr,1,71,10,10,149,0,0,21-5,8,42.7
2025,Sr,6.5,38,13,11,149,1,0,20-5,40,3
2025,Fr,12,87,8,12,149,1,0,0-0,27,12.8
2025,Jr,12.5,59,11,13,149,1,0,21-5,7,47.7
2025,Jr,1.5,45,12,14,149,0,0,14-2,24,14.5
2025,So,1,10,16,15,149,0,0,20-3,38,3.5
2025,So,0,5,29,16,149,0,0,26-8,48,1
2025,Sr,1,31,14,17,149,0,0,20-10,23,14.8
2025,Jr,3,10,17,18,149,0,0,17-8,9,41.8
2025,Sr,1,10,19,19,149,0,0,0-0,29,11.3
2025,Fr,0,10,18,20,149,0,0,0-0,15,27.5
2025,Jr,0.5,10,20,21,149,0,0,20-6,34,5.3
2025,So,8,5,23,22,149,1,0,20-9,46,2.3
2025,Jr,0,5,25,24,149,0,0,24-8,35,5
2025,Sr,1.5,5,32,25,149,0,0,14-7,17,23.2
2025,Jr,0,5,26,26,149,0,0,21-10,22,16.7
2025,Jr,0,5,33,27,149,0,0,0-0,52,0.8
2025,Fr,0,5,28,28,149,0,0,0-0,13,28.7
2025,So,2.5,5,21,29,149,0,0,0-0,43,2.5
2025,Jr,0,5,27,30,149,0,0,0-0,39,3.3
2025,Fr,0,5,30,31,149,0,0,16-10,44,2.5
2025,So,0.5,5,35,32,149,0,0,0-0,53,0.5
2025,Jr,5,5,22,33,149,0,0,3-Apr,3,64.7
2025,So,18.5,196,1,1,157,1,0,17-1,1,161
2025,So,12.5,148,2,2,157,1,0,1-Nov,9,41.8
2025,So,23.5,139,3,3,157,1,1,22-4,4,63.7
2025,Fr,1,71,10,4,157,0,0,17-3,6,52.5
2025,Jr,2,117,5,5,157,0,0,0-0,7,47.7
2025,So,2.5,78,9,6,157,0,0,25-4,8,42.7
2025,So,11,59,11,7,157,1,0,18-4,19,19.3
2025,So,16,129,4,8,157,1,0,20-5,14,27.7
2025,Jr,2,107,6,9,157,0,0,23-5,5,58
2025,Jr,1.5,87,8,10,157,0,0,0-0,22,16.7
2025,Jr,6.5,31,14,11,157,1,0,23-4,11,30
2025,Sr,5.5,38,13,12,157,1,0,18-9,3,64.7
2025,Jr,0,10,17,13,157,0,0,24-10,39,3.3
2025,So,5.5,5,21,14,157,0,0,23-7,33,5.3
2025,Sr,2,10,20,15,157,0,0,30-5,35,5
2025,Fr,1.5,10,16,16,157,0,0,18-6,20,19.2
2025,So,1,5,22,17,157,0,0,21-5,52,0.8
2025,Sr,0,93,7,18,157,0,0,0-0,2,81.7
2025,Sr,3,26,15,19,157,0,0,0-0,21,18.5
2025,Sr,12.5,10,19,20,157,1,0,13-6,44,2.5
2025,Fr,0.5,5,27,21,157,0,0,19-5,17,23.2
2025,Sr,2,45,12,22,157,0,0,0-0,15,27.5
2025,Sr,6,10,18,23,157,0,0,9-Oct,13,28.7
2025,So,0.5,5,24,24,157,0,0,21-7,28,11.8
2025,Jr,0,5,25,25,157,0,0,8-Nov,26,13
2025,Sr,0,5,34,26,157,0,0,0-0,53,0.5
2025,Fr,0,5,28,27,157,0,0,0-0,23,14.8
2025,So,0,5,23,28,157,0,0,0-0,27,12.8
2025,So,0.5,5,29,30,157,0,0,17-15,12,29.2
2025,Jr,0.5,5,35,31,157,0,0,16-4,53,0.5
2025,Jr,0,5,30,33,157,0,0,20-13,50,1
2025,So,24,196,1,1,165,1,1,22-0,1,161
2025,Sr,17.5,139,3,2,165,1,0,30-1,18,22.5
2025,So,18,148,2,3,165,1,0,20-2,2,81.7
2025,Sr,12.5,117,5,4,165,1,0,27-2,30,11
2025,Sr,5,129,4,5,165,0,0,20-1,9,41.8
2025,Fr,2,78,9,6,165,0,0,15-4,13,28.7
2025,So,10,93,7,7,165,1,0,19-6,23,14.8
2025,Sr,5.5,87,8,8,165,1,0,16-7,3,64.7
2025,So,12.5,107,6,9,165,1,0,14-5,12,29.2
2025,Sr,1,45,12,10,165,0,0,23-7,5,58
2025,Fr,7,59,11,11,165,0,0,0-0,10,37.5
2025,Fr,14.5,10,16,12,165,1,0,19-5,4,63.7
2025,Jr,3,26,15,13,165,0,0,20-2,47,1.8
2025,So,0,38,13,14,165,0,0,20-5,21,18.5
2025,Fr,1.5,71,10,15,165,0,0,13-7,16,25.8
2025,Sr,5.5,5,32,16,165,0,0,17-8,53,0.5
2025,So,0,5,27,17,165,0,0,13-6,42,3
2025,Sr,1.5,10,17,18,165,0,0,18-10,44,2.5
2025,Sr,2.5,10,19,19,165,0,0,0-0,8,42.7
2025,So,0.5,10,18,20,165,0,0,0-0,48,1
2025,Jr,0,5,29,21,165,0,0,13-5,11,30
2025,Jr,0,5,21,22,165,0,0,0-0,40,3
2025,Sr,0,5,26,24,165,0,0,24-9,50,1
2025,So,1.5,10,20,25,165,0,0,3-Nov,43,2.5
2025,Jr,0,31,14,26,165,0,0,17-8,7,47.7
2025,So,2.5,5,22,27,165,0,0,19-9,37,3.8
2025,Fr,1.5,5,24,28,165,0,0,14-12,6,52.5
2025,Jr,0,5,33,29,165,0,0,0-0,15,27.5
2025,Jr,2.5,5,35,30,165,0,0,0-0,20,19.2
2025,Jr,0,5,25,31,165,0,0,13-9,40,3
2025,So,0,5,36,32,165,0,0,11-Oct,28,11.8
2025,Jr,1.5,5,37,33,165,0,0,14-12,35,5
2025,Jr,19,196,1,1,174,1,0,16-0,12,29.2
2025,Jr,16.5,148,2,2,174,1,0,20-1,1,161
2025,Sr,22.5,139,3,3,174,1,1,22-1,3,64.7
2025,Jr,3,129,4,4,174,0,0,29-5,31,11
2025,Fr,12.5,87,8,5,174,1,0,21-5,9,41.8
2025,Sr,2.5,59,11,6,174,0,0,25-4,36,4.8
2025,So,8,31,14,7,174,1,0,20-6,32,8.2
2025,Jr,4,107,6,8,174,0,0,22-5,4,63.7
2025,Sr,0,117,5,9,174,0,0,14-3,7,47.7
2025,Sr,0,71,10,10,174,0,0,26-6,35,5
2025,Jr,12.5,93,7,11,174,1,0,13-5,2,81.7
2025,So,0,10,16,12,174,0,0,23-7,42,3
2025,Sr,9,45,12,13,174,1,0,19-7,21,18.5
2025,So,7.5,26,15,14,174,1,0,17-7,15,27.5
2025,Jr,2.5,10,19,15,174,0,0,17-8,28,11.8
2025,Fr,2,78,9,16,174,0,0,20-4,23,14.8
2025,So,2.5,5,25,17,174,0,0,21-2,53,0.5
2025,Sr,1,5,21,18,174,0,0,14-5,34,5.3
2025,Jr,1.5,10,20,19,174,0,0,21-13,8,42.7
2025,Jr,1.5,38,13,20,174,0,0,9-Dec,10,37.5
2025,Sr,1,10,17,21,174,0,0,13-5,26,13
2025,Sr,2.5,5,22,22,174,0,0,22-6,33,5.3
2025,Fr,2,10,18,23,174,0,0,16-9,20,19.2
2025,Sr,2,5,23,24,174,0,0,13-10,6,52.5
2025,So,1.5,5,29,25,174,0,0,19-9,48,1
2025,So,0.5,5,27,26,174,0,0,18-11,14,27.7
2025,Fr,0,5,31,27,174,0,0,21-5,48,1
2025,So,0.5,5,24,28,174,0,0,16-10,5,58
2025,Sr,NULL,5,33,29,174,0,0,17-8,11,30
2025,Sr,0,5,32,30,174,0,0,18-10,29,11.3
2025,Jr,0.5,5,34,31,174,0,0,25-8,45,2.5
2025,Fr,0,5,28,32,174,0,0,14-17,22,16.7
2025,Jr,1,5,34,32,174,0,0,0-0,40,3
2025,Jr,0,5,35,33,174,0,0,19-12,50,1
2025,Sr,24,196,1,1,184,1,1,21-0,1,161
2025,Sr,19.5,148,2,2,184,1,0,24-0,8,42.7
2025,Fr,16,139,3,3,184,1,0,20-1,5,58
2025,Sr,15,129,4,4,184,1,0,18-4,3,64.7
2025,So,1,117,5,5,184,0,0,26-5,21,18.5
2025,Sr,12.5,107,6,6,184,1,0,19-1,9,41.8
2025,Jr,1.5,31,14,7,184,0,0,24-7,40,3
2025,Jr,13,87,8,8,184,1,0,20-7,22,16.7
2025,Sr,1,59,11,9,184,0,0,20-3,28,11.8
2025,Sr,3,93,7,10,184,0,0,14-7,10,37.5
2025,Fr,1.5,71,10,11,184,0,0,17-4,2,81.7
2025,Jr,10.5,78,9,12,184,1,0,19-5,4,63.7
2025,Sr,0,38,13,13,184,0,0,14-7,20,19.2
2025,Jr,6.5,26,15,14,184,0,0,18-6,34,5.3
2025,So,2,45,12,15,184,0,0,13-6,15,27.5
2025,Fr,2.5,10,16,16,184,0,0,0-0,29,11.3
2025,Sr,1.5,10,17,17,184,0,0,20-7,26,13
2025,Sr,0.5,10,20,18,184,0,0,17-8,33,5.3
2025,Fr,3,10,19,19,184,0,0,13-7,39,3.3
2025,Jr,3,5,24,20,184,0,0,0-0,50,1
2025,Jr,1.5,5,30,21,184,0,0,19-5,52,0.8
2025,Sr,7.5,5,25,22,184,1,0,0-0,37,3.8
2025,Fr,3.5,5,22,23,184,0,0,20-15,46,2.3
2025,So,0,10,18,26,184,0,0,9-Oct,7,47.7
2025,Sr,0,5,23,27,184,0,0,16-7,53,0.5
2025,Jr,0,5,31,28,184,0,0,0-0,18,22.5
2025,So,0.5,5,28,29,184,0,0,0-0,38,3.5
2025,Sr,0,5,33,30,184,0,0,21-10,45,2.5
2025,Sr,0,5,27,31,184,0,0,7-Oct,12,29.2
2025,So,1,5,34,32,184,0,0,14-6,17,23.2
2025,Jr,2,5,36,33,184,0,0,13-Jul,27,12.8
2025,Sr,13.5,196,1,1,197,1,0,20-1,13,28.7
2025,Sr,24,148,2,2,197,1,1,21-1,2,81.7
2025,Jr,13.5,139,3,3,197,1,0,17-0,25,14
2025,Fr,18,129,4,4,197,1,0,16-3,1,161
2025,Sr,3.5,117,5,5,197,0,0,20-1,17,23.2
2025,So,8.5,87,8,6,197,1,0,23-2,28,11.8
2025,So,1.5,93,7,7,197,0,0,24-4,8,42.7
2025,Sr,0,71,10,8,197,0,0,22-3,3,64.7
2025,Sr,3,59,11,9,197,0,0,15-6,10,37.5
2025,Sr,0,45,12,10,197,0,0,18-6,5,58
2025,Sr,3,10,16,11,197,0,0,14-2,38,3.5
2025,So,11.5,107,6,12,197,1,0,19-3,11,30
2025,Sr,1.5,78,9,13,197,0,0,3-Sep,27,12.8
2025,Sr,0.5,26,15,14,197,0,0,16-6,21,18.5
2025,So,16,38,13,15,197,1,0,23-5,39,3.3
2025,Jr,1,10,19,16,197,0,0,19-10,44,2.5
2025,Sr,0.5,31,14,17,197,0,0,21-9,23,14.8
2025,Fr,3,5,23,18,197,0,0,22-9,42,3
2025,Sr,1,10,17,19,197,0,0,13-7,6,52.5
2025,Fr,6,10,18,20,197,1,0,0-0,4,63.7
2025,Sr,1.5,5,26,21,197,0,0,23-6,53,0.5
2025,Jr,0,5,22,22,197,0,0,0-0,48,1
2025,So,4,10,20,23,197,0,0,18-15,7,47.7
2025,Jr,3,5,21,24,197,0,0,17-11,37,3.8
2025,Jr,1,5,28,26,197,0,0,16-11,40,3
2025,Fr,1.5,5,25,27,197,0,0,15-4,9,41.8
2025,Fr,0,5,29,28,197,0,0,0-0,32,8.2
2025,Fr,0,5,31,29,197,0,0,22-6,45,2.5
2025,So,0.5,5,27,30,197,0,0,20-12,18,22.5
2025,Fr,0,5,24,31,197,0,0,12-Dec,53,0.5
2025,Jr,1,5,32,32,197,0,0,19-10,48,1
2025,So,0,5,35,33,197,0,0,27-8,47,1.8
2025,Sr,22.5,196,1,1,285,1,0,14-0,5,58
2025,Sr,26,139,3,2,285,1,1,22-0,3,64.7
2025,Sr,10.5,148,2,3,285,1,0,18-1,1,161
2025,Sr,13.5,117,5,4,285,1,0,21-0,17,23.2
2025,Fr,5.5,93,7,5,285,1,0,18-6,2,81.7
2025,Sr,10,78,9,6,285,1,0,22-4,13,28.7
2025,Jr,15,107,6,7,285,1,0,17-5,15,27.5
2025,Sr,2,71,10,8,285,0,0,16-6,10,37.5
2025,Sr,18.5,129,4,9,285,1,0,21-5,16,25.8
2025,So,5,31,14,10,285,0,0,14-4,28,11.8
2025,Fr,0.5,45,12,11,285,0,0,20-5,6,52.5
2025,So,5,87,8,12,285,0,0,17-7,7,47.7
2025,Sr,3,38,13,13,285,0,0,19-6,22,16.7
2025,Sr,4,10,16,14,285,0,0,19-2,45,2.5
2025,Jr,2.5,10,20,15,285,0,0,22-5,24,14.5
2025,Sr,1.5,59,11,16,285,0,0,15-7,29,11.3
2025,Sr,0.5,5,26,17,285,0,0,26-3,25,14
2025,Sr,1.5,10,18,18,285,0,0,18-7,8,42.7
2025,Sr,2.5,26,15,19,285,0,0,20-6,36,4.8
2025,Jr,0,10,19,20,285,0,0,22-5,31,11
2025,Sr,1,10,17,21,285,0,0,18-10,37,3.8
2025,Fr,1,5,25,22,285,0,0,36-7,48,1
2025,So,0,5,22,24,285,0,0,16-10,26,13
2025,Fr,0.5,5,24,25,285,0,0,22-9,21,18.5
2025,Jr,0.5,5,28,26,285,0,0,9-Nov,23,14.8
2025,So,0,5,27,27,285,0,0,24-10,53,0.5
2025,Fr,0,5,23,28,285,0,0,26-13,20,19.2
